date,killed,wounded,lat,lng
9/3/2014,0,4,34.0522342,-118.2436849
9/4/2014,0,5,43.0125274,-83.6874562
9/6/2014,0,5,28.5383355,-81.3792365
9/6/2014,0,5,32.8406946,-83.6324022
9/11/2014,1,5,42.331427,-83.0457538
9/14/2014,3,1,27.8005828,-97.396381
9/14/2014,1,3,36.8507689,-76.2858726
9/14/2014,0,6,61.2180556,-149.9002778
9/14/2014,0,7,29.9746502,-92.1342921
9/15/2014,0,4,41.49932,-81.6943605
9/15/2014,0,5,29.9510658,-90.0715323
9/18/2014,8,0,29.7555125,-82.8626239
9/19/2014,0,4,40.7282239,-73.7948516
9/20/2014,2,2,34.4198016,-89.9253233
9/21/2014,2,2,39.9525839,-75.1652215
9/21/2014,0,4,40.6186756,-80.5772928
9/28/2014,0,15,25.7616798,-80.1917902
9/28/2014,1,6,32.9051704,-80.6667688
9/28/2014,0,4,39.768403,-86.158068
9/28/2014,0,4,39.9525839,-75.1652215
9/29/2014,0,4,36.7468422,-119.7725868
9/30/2014,0,5,42.331427,-83.0457538
10/2/2014,0,5,34.2998762,-79.8761741
10/4/2014,1,3,41.8781136,-87.6297982
10/4/2014,2,2,35.1495343,-90.0489801
10/4/2014,0,4,34.055103,-117.7499909
10/5/2014,3,2,30.3321838,-81.655651
10/6/2014,1,5,42.331427,-83.0457538
10/7/2014,2,2,33.8251139,-88.5436553
10/8/2014,4,0,37.5407246,-77.4360481
10/9/2014,1,3,35.4675602,-97.5164276
10/9/2014,0,4,33.7489954,-84.3879824
10/10/2014,0,5,43.100903,-75.232664
10/11/2014,3,1,37.9577016,-121.2907796
10/12/2014,1,3,33.7489954,-84.3879824
10/14/2014,3,2,33.969864,-84.2212938
10/16/2014,3,1,29.1383165,-80.9956105
10/16/2014,1,3,42.331427,-83.0457538
10/18/2014,0,4,40.6781784,-73.9441579
10/18/2014,1,3,33.5604168,-81.7195533
10/20/2014,0,4,42.331427,-83.0457538
10/24/2014,5,1,48.0517637,-122.1770818
10/26/2014,4,0,36.8650496,-87.835295
10/29/2014,0,5,35.7795897,-78.6381787
11/5/2014,0,4,37.7749295,-122.4194155
11/7/2014,0,4,34.0522342,-118.2436849
11/8/2014,1,4,36.0726354,-79.7919754
11/8/2014,0,5,34.055103,-117.7499909
11/15/2014,3,1,37.2089572,-93.2922989
11/16/2014,1,4,41.0814447,-81.5190053
11/16/2014,1,3,25.7616798,-80.1917902
11/17/2014,0,6,31.7618778,-106.4850217
11/17/2014,0,4,36.1988592,-115.1175013
11/19/2014,1,3,41.8781136,-87.6297982
11/19/2014,4,1,41.49932,-81.6943605
11/19/2014,1,3,30.4382559,-84.2807329
11/20/2014,3,1,39.8433853,-74.7107048
11/21/2014,0,6,40.292292,-79.881715
11/22/2014,4,1,45.6646815,-97.0498046
11/22/2014,1,3,39.9242266,-83.8088171
11/23/2014,0,4,37.7063323,-75.8069082
11/26/2014,0,6,37.7749295,-122.4194155
11/26/2014,0,4,40.3356483,-75.9268747
11/28/2014,2,3,30.6749425,-97.5861701
11/28/2014,0,4,35.1495343,-90.0489801
11/29/2014,3,2,33.7489954,-84.3879824
11/29/2014,1,3,40.735657,-74.1723667
11/30/2014,0,4,40.6781784,-73.9441579
11/30/2014,0,5,35.0456297,-85.3096801
12/1/2014,5,0,39.6345259,-79.9697862
12/2/2014,0,5,37.0870821,-76.4730122
12/2/2014,2,4,38.6270025,-90.1994042
12/3/2014,1,3,35.4168123,-80.5882803
12/6/2014,0,4,44.977753,-93.2650108
12/7/2014,0,4,41.6228085,-86.3376761
12/12/2014,0,4,45.5230622,-122.6764815
12/13/2014,0,5,27.950575,-82.4571776
12/14/2014,2,4,32.8406946,-83.6324022
12/14/2014,1,4,25.7616798,-80.1917902
12/15/2014,6,3,40.2290075,-75.3878525
12/15/2014,0,4,41.8781136,-87.6297982
12/16/2014,0,4,40.6639916,-74.2107006
12/20/2014,4,0,42.2711311,-89.0939952
12/21/2014,1,10,41.6155909,-87.5294871
12/21/2014,2,3,27.3364347,-82.5306527
12/21/2014,2,2,33.2148412,-97.1330683
12/22/2014,0,5,41.8781136,-87.6297982
12/22/2014,0,4,36.7468422,-119.7725868
12/22/2014,1,3,42.331427,-83.0457538
12/22/2014,0,9,25.5516034,-80.6326916
12/23/2014,1,3,37.990079,-84.1796503
12/24/2014,1,3,38.6270025,-90.1994042
12/26/2014,1,3,38.624514,-90.1506465
12/27/2014,1,3,34.0522342,-118.2436849
12/27/2014,0,4,38.5815719,-121.4943996
12/29/2014,0,4,29.9510658,-90.0715323
